continous_index,original_index,zinc_id,smiles,src
0,0,ZINC000000000290,N[C@H](Cc1ccc(Cl)cc1)C(=O)O,bachem-for-sale.csv
1,2,ZINC000000001575,N[C@@H](Cc1ccc(O)c(I)c1)C(=O)O,bachem-for-sale.csv
2,3,ZINC000000001927,N[C@H](Cc1ccccc1)C(=O)O,bachem-for-sale.csv
3,4,ZINC000000002234,N[C@H](Cc1ccc(O)cc1)C(=O)O,bachem-for-sale.csv
4,6,ZINC000000003941,CC(=O)NCCc1c(Cc2ccccc2)[nH]c2ccccc12,bachem-for-sale.csv
5,9,ZINC000000032333,N[C@@H](Cc1ccc(Br)cc1)C(=O)O,bachem-for-sale.csv
6,10,ZINC000000032334,N[C@H](Cc1ccc(Br)cc1)C(=O)O,bachem-for-sale.csv
7,11,ZINC000000032354,CC(C)[C@H](N)C(=O)Nc1ccc2ccccc2c1,bachem-for-sale.csv
8,12,ZINC000000034162,N[C@H](C(=O)O)[C@H](O)c1ccccc1,bachem-for-sale.csv
9,13,ZINC000000037834,O=C(O)[C@H]1Cc2c([nH]c3ccccc23)CN1,bachem-for-sale.csv
10,14,ZINC000000037835,O=C(O)[C@@H]1Cc2c([nH]c3ccccc23)CN1,bachem-for-sale.csv
11,17,ZINC000000039094,C[C@@](N)(Cc1c[nH]c2ccccc12)C(=O)O,bachem-for-sale.csv
12,18,ZINC000000039095,C[C@](N)(Cc1c[nH]c2ccccc12)C(=O)O,bachem-for-sale.csv
13,23,ZINC000000043864,N[C@@H](Cc1ccc([N+](=O)[O-])cc1)C(=O)O,bachem-for-sale.csv
14,24,ZINC000000043865,N[C@H](Cc1ccc([N+](=O)[O-])cc1)C(=O)O,bachem-for-sale.csv
15,28,ZINC000000056442,CC(=O)Oc1cn(C(C)=O)c2ccc(Br)c(Cl)c12,bachem-for-sale.csv
16,35,ZINC000000056783,Cc1cc(=O)oc2cc(NC(=O)[C@@H](N)CC(C)C)ccc12,bachem-for-sale.csv
17,37,ZINC000000056981,CN[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,bachem-for-sale.csv
18,38,ZINC000000057060,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,bachem-for-sale.csv
19,41,ZINC000000057176,Cc1cc(=O)oc2cc(NC(=O)C[C@H](N)C(=O)O)ccc12,bachem-for-sale.csv
20,42,ZINC000000057183,C[C@H](N)C(=O)Nc1ccc2ccccc2c1,bachem-for-sale.csv
21,43,ZINC000000057184,C[C@@H](N)C(=O)Nc1ccc2ccccc2c1,bachem-for-sale.csv
22,46,ZINC000000057215,CC(=O)Oc1c[nH]c2ccc(Br)c(Cl)c12,bachem-for-sale.csv
23,53,ZINC000000057299,N[C@@H](Cc1cc(Br)c(O)c(Br)c1)C(=O)O,bachem-for-sale.csv
24,54,ZINC000000057300,N[C@H](Cc1cc(Br)c(O)c(Br)c1)C(=O)O,bachem-for-sale.csv
25,55,ZINC000000057339,Cc1cc(=O)oc2cc(NC(=O)CN)ccc12,bachem-for-sale.csv
26,56,ZINC000000057342,Cc1cc(=O)oc2cc(NC(=O)CC[C@H](N)C(=O)O)ccc12,bachem-for-sale.csv
27,57,ZINC000000057379,CC(=O)Oc1cn(C(C)=O)c2ccccc12,bachem-for-sale.csv
28,58,ZINC000000057384,CC(C)C[C@H](N)C(=O)Nc1ccc2ccccc2c1,bachem-for-sale.csv
29,59,ZINC000000057385,CC(C)C[C@@H](N)C(=O)Nc1ccc2ccccc2c1,bachem-for-sale.csv
30,61,ZINC000000057497,Cc1cc(=O)oc2cc(NC(=O)[C@@H](N)CO)ccc12,bachem-for-sale.csv
31,63,ZINC000000057505,NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12,bachem-for-sale.csv
32,64,ZINC000000057543,Cc1cc(=O)oc2cc(NC(=O)[C@@H](C)N)ccc12,bachem-for-sale.csv
33,65,ZINC000000057544,Cc1cc(=O)oc2cc(NC(=O)[C@H](C)N)ccc12,bachem-for-sale.csv
34,74,ZINC000000057603,NC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,bachem-for-sale.csv
35,75,ZINC000000057604,NC[C@@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,bachem-for-sale.csv
36,80,ZINC000000066143,CC(C)(C)OC(=O)N1CCC(N)(C(=O)O)CC1,bachem-for-sale.csv
37,82,ZINC000000080812,CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,bachem-for-sale.csv
